,Model_Name,GPU_Type,Dataset,Epoch,Val_Loss
507,deformable_vit,K80,cifar100,2,3.602792847639178
508,deformable_vit,K80,cifar10,2,1.5953495020515305
509,deformable_vit,K80,TinyImageNet,3,3.961040526951387
510,deformable_vit,K80,cifar100,3,3.371446529865675
511,deformable_vit,K80,cifar10,3,1.4867714071596012
512,deformable_vit,K80,TinyImageNet,4,3.8448654858922073
513,deformable_vit,K80,cifar100,4,3.2010054368290826
514,deformable_vit,K80,cifar10,4,1.409515300883641
515,deformable_vit,K80,TinyImageNet,5,3.7490949185170663
516,deformable_vit,K80,cifar100,5,3.0336498427775256
517,deformable_vit,K80,cifar10,5,1.3638440077044662
518,deformable_vit,K80,TinyImageNet,6,3.6167479340129005
519,deformable_vit,K80,cifar100,6,2.86816952231324
520,deformable_vit,K80,cifar10,6,1.2987248202747719
521,deformable_vit,K80,TinyImageNet,7,3.5039018700147957
522,deformable_vit,K80,cifar100,7,2.773839427695583
523,deformable_vit,K80,cifar10,7,1.2087707021602982
524,deformable_vit,K80,TinyImageNet,8,3.371292318837707
525,deformable_vit,K80,cifar100,8,2.6634492481867444
526,deformable_vit,K80,cifar10,8,1.1802313835294729
527,deformable_vit,K80,TinyImageNet,9,3.326304772233042
528,deformable_vit,K80,cifar100,9,2.56605403140489
529,deformable_vit,K80,cifar10,9,1.119860864039569
530,deformable_vit,K80,TinyImageNet,10,3.215509143699225
531,deformable_vit,K80,cifar100,10,2.4970101513338667
532,deformable_vit,K80,cifar10,10,1.0864067961326576
533,deformable_vit,K80,TinyImageNet,11,3.0681433337692954
534,deformable_vit,K80,cifar100,11,2.4359224405956525
535,deformable_vit,K80,cifar10,11,1.0530819897647656
536,deformable_vit,K80,TinyImageNet,12,3.0013369467546958
537,deformable_vit,K80,cifar100,12,2.398051346167256
538,deformable_vit,K80,cifar10,12,1.021395513428929
