Model_Name,GPU_Type,Dataset,Epoch,Val_Loss
deformable_vit,K80,cifar10,18,0.851524717769989
deformable_vit,K80,TinyImageNet,19,2.543239707908282
deformable_vit,K80,cifar100,19,2.3200582687765023
deformable_vit,K80,cifar10,19,0.8165109881860779
deformable_vit,K80,TinyImageNet,20,2.5133973109625547
deformable_vit,K80,cifar100,20,2.321551465541523
deformable_vit,K80,cifar10,20,0.7865625976147769
deformable_vit,K80,TinyImageNet,21,2.470957432601607
deformable_vit,K80,cifar100,21,2.3079536516166383
deformable_vit,K80,cifar10,21,0.8014761138026391
deformable_vit,K80,TinyImageNet,22,2.456944532022927
deformable_vit,K80,cifar100,22,2.2807786569405404
deformable_vit,K80,cifar10,22,0.7965957871332576
deformable_vit,K80,TinyImageNet,23,2.444153375210853
deformable_vit,K80,cifar100,23,2.255848513861966
deformable_vit,K80,cifar10,23,0.7745102480865825
deformable_vit,K80,TinyImageNet,24,2.457691186429193
deformable_vit,K80,cifar100,24,2.215520908586639
deformable_vit,K80,cifar10,24,0.7646031433301266
deformable_vit,K80,TinyImageNet,25,2.443335474503728
deformable_vit,K80,cifar100,25,2.1781151920226915
deformable_vit,K80,cifar10,25,0.7395600222365459
deformable_vit,K80,TinyImageNet,26,2.429537252665003
deformable_vit,K80,cifar100,26,2.217234931377859
deformable_vit,K80,cifar10,26,0.7174708602656531
deformable_vit,K80,TinyImageNet,27,2.4334571061629178
